2021-10-23 15:43:15.529465: pb-IF4xJ2ok | message 2
2021-10-23 15:49:25.181649: pb-JiNJARBaXEFBVF9HFkNXXF1EF0ZaRlZE | hi testing chat logger ..smoothy
2021-10-23 15:53:18.720181: pb-JiNJARBaXEFBVF9HFkNXXF1EF0ZaRlZE | testing logger 2
2021-10-23 15:53:21.328814: pb-JiNJARBaXEFBVF9HFkNXXF1EF0ZaRlZE | 3
2021-10-23 15:53:23.536746: pb-JiNJARBaXEFBVF9HFkNXXF1EF0ZaRlZE | 4
2021-10-23 15:53:26.750919: pb-JiNJARBaXEFBVF9HFkNXXF1EF0ZaRlZE | 5
2021-10-23 15:53:31.449340: pb-JiNJARBaXEFBVF9HFkNXXF1EF0ZaRlZE | 6
2021-10-23 15:53:34.357371: pb-JiNJARBaXEFBVF9HFkNXXF1EF0ZaRlZE | 7
2021-10-23 15:53:38.152627: pb-JiNJARBaXEFBVF9HFkNXXF1EF0ZaRlZE | 8
2021-10-23 15:53:41.077009: pb-JiNJARBaXEFBVF9HFkNXXF1EF0ZaRlZE | 9
2021-11-25 22:15:06.477416: pb-IF5XUm9eAg== | ohh fuck
2021-11-25 22:15:10.409848: pb-IF5XUm9eAg== | shit
2021-11-25 22:15:14.275920: pb-IF5XUm9eAg== | bye
2021-11-25 22:15:16.296385: pb-IF5XUm9eAg== | no
2021-11-25 22:15:21.839111: pb-IF5XUm9eAg== | no
2021-11-25 22:15:24.687210: pb-IF5XUm9eAg== | fuck
2021-11-25 22:15:27.920635: pb-IF5XUm9eAg== | fuck
2021-11-25 22:15:30.901683: pb-IF5XUm9eAg== | uck
2021-11-25 22:15:33.372142: pb-IF5XUm9eAg== | fuck
2021-11-25 22:15:36.348450: pb-IF5XUm9eAg== | fuck
2021-11-25 22:15:39.339904: pb-IF5XUm9eAg== | okokoko
2021-12-31 00:45:25.857016: pb-IF4SCnRZ | gcuser1578447208313|1n ✶❘❑Mina❑❘✶| Hi!
2022-01-01 15:33:54.481761: pb-IF4QVRQmAQ== | 𝓐𝔁𝓮𝓵7723|𝓐𝔁𝓮𝓵| 
2022-01-01 15:33:57.551025: pb-IF5QUhk7Jg== | Android54411037|{♡Ķ Ï Ł Ə Ř♡}| 
2022-01-01 15:33:57.719083: pb-IF5QUhk7Jg== | Android54411037|{♡Ķ Ï Ł Ə Ř♡}| 
2022-01-01 16:00:43.410525: pb-IF5RVU8MEg== | killerpro9187|killerpro9187| boom
2022-01-01 16:21:01.180329: pb-IF5WUmUbJA== | ObliqueHeart2892|Don Quixote| jeje
2022-01-01 16:23:03.685428: pb-IF4jUmISMQ== | Android54912071|Wedge| كسمك يوسف
2022-01-01 16:23:48.086435: pb-IF4jUmISMQ== | Android54912071|Wedge| متناك
2022-01-01 16:25:09.374982: pb-IF4jUmISMQ== | Android54912071|😎Abdallah😎| رود ياخول
2022-01-01 17:15:37.988076: pb-IF4XUnNZPQ== | Android56625794|<in-lobby>| го дружить
2022-01-01 19:22:33.767642: pb-IF4-UndbEA== | Android57092456|Android57092456| 
2022-01-01 19:40:31.266264: pb-IF4eVVgGFA== | Android53445461|<in-lobby>| 
2022-01-01 21:18:12.909271: pb-IF5XUmMbMw== | Android54794214|Donny| کیر
2022-01-01 21:21:18.931404: pb-IF4rUmspJw== | JuanOrtizkiller|JuanOrtizkiller| how
2022-01-01 21:38:29.096183: pb-IF4JVUVdUQ== | Android51372387|ㅤ| ni se 
2022-01-01 21:39:48.739561: pb-IF4RVVQHAQ== | joseANG3LYTT|Uther| dame.vip
2022-01-01 21:40:07.373810: pb-IF4JVUVdUQ== | Android51372387|ㅤ| a ver
2022-01-01 21:41:05.473387: pb-IF4JVUVdUQ== | Android51372387|ㅤ| creo que no funciona xs
2022-01-01 21:41:10.998090: pb-IF4JVUVdUQ== | Android51372387|ㅤ| equisde
2022-01-01 21:46:25.630728: pb-IF4RVVQHAQ== | joseANG3LYTT|Socrates| tengo vip
2022-01-01 21:46:36.922723: pb-IF4JVUVdUQ== | Android51372387|ㅤ| okey xd F yo nop
2022-01-01 21:46:49.811403: pb-IF4RVVQHAQ== | joseANG3LYTT|Socrates| dame vip
2022-01-01 21:47:29.233965: pb-IF4RVVQHAQ== | joseANG3LYTT|Socrates|    
2022-01-01 21:47:29.462182: pb-IF4RVVQHAQ== | joseANG3LYTT|Socrates|    
2022-01-01 21:47:29.612244: pb-IF4RVVQHAQ== | joseANG3LYTT|Socrates|    
2022-01-01 21:47:29.792199: pb-IF4RVVQHAQ== | joseANG3LYTT|Socrates|    
2022-01-01 21:48:21.901688: pb-IF4RVVQHAQ== | joseANG3LYTT|Socrates| !end
2022-01-01 21:48:51.518633: pb-IF4JVUVdUQ== | Android51372387|Jandry| xd
2022-01-01 21:49:45.495034: pb-IF4JVUVdUQ== | Android51372387|Jandry| have
2022-01-01 21:50:18.223633: pb-IF4RVVQHAQ== | joseANG3LYTT|Socrates|    
2022-01-01 21:50:25.276288: pb-IF4RVVQHAQ== | joseANG3LYTT|Socrates| dame vip
2022-01-01 21:52:37.671022: pb-IF4RVVQHAQ== | joseANG3LYTT|Socrates| dame vip puta madre
2022-01-01 21:53:46.716217: pb-IF4RVVQHAQ== | joseANG3LYTT|Socrates|    
2022-01-01 21:53:46.885816: pb-IF4RVVQHAQ== | joseANG3LYTT|Socrates|    
2022-01-01 21:55:09.006502: pb-IF4JVUVdUQ== | Android51372387|Jandry| xd
2022-01-01 22:03:26.022128: pb-IF4JVUVdUQ== | Android51372387|<in-lobby>| bye 👍
2022-01-01 22:12:21.183356: pb-IF4KVVE-Bg== | Android52692054|Android52692054| 
2022-01-01 22:12:21.873457: pb-IF4KVVE-Bg== | Android52692054|Android52692054| 
2022-01-01 22:12:22.061403: pb-IF4KVVE-Bg== | Android52692054|Android52692054| 
2022-01-01 22:12:22.253999: pb-IF4KVVE-Bg== | Android52692054|Android52692054| 
2022-01-01 22:26:26.615194: pb-IF4rUmspJw== | JuanOrtizkiller|JuanOrtizkiller| 
2022-01-01 22:27:14.456836: pb-IF4rUmspJw== | JuanOrtizkiller|JuanOrtizkiller| top
2022-01-01 23:12:02.531902: pb-IF4nVUQyUQ== | Android52343402|Android52343402| alo
2022-01-01 23:29:43.911549: pb-IF43V1cnMg== | TinTinxd7w7|<in-lobby>| 
2022-01-01 23:29:49.131763: pb-IF43V1cnMg== | TinTinxd7w7|<in-lobby>| ola
2022-01-02 04:42:48.426120: pb-IF4wUnc9JA== | Android57088461|Arthur| 
2022-01-02 04:42:48.585005: pb-IF4wUnc9JA== | Android57088461|Arthur| 
2022-01-02 04:43:45.130745: pb-IF4wUnc9JA== | Android57088461|Arthur| 
2022-01-02 04:47:08.783694: pb-IF4wUnc9JA== | Android57088461|Benji| 
2022-01-02 04:47:09.013674: pb-IF4wUnc9JA== | Android57088461|Benji| 
2022-01-02 04:56:51.589803: pb-IF4jV0hbLQ== | ArmoredDervish8642|༺ཌ༈тΌЖĮČ༈ད༻| luck 
2022-01-02 05:03:47.877387: pb-JiNJARBaVEdEVVlHFE9TUVVLFkNZT1JA | JADERGGR|JADERGGR| ****
2022-01-02 05:24:25.400668: pb-IF49UhVbKA== | MohammedTuha|%(👑) Mohammed| 
2022-01-02 05:24:28.698198: pb-IF49UhVbKA== | MohammedTuha|%(👑) Mohammed| hello
2022-01-02 06:21:08.211441: pb-IF4IUm8MBw== | Android56330151|ALISA😻😻👩| hello
2022-01-02 06:40:07.476336: pb-IF4wVWQSPQ== | NearbyAtom27|Mr.Mert| hahaha
2022-01-02 07:09:45.804699: pb-IF4dVW0JJA== | Android48811361|Android48811361| 
